"code";"kapnr";"ver"
M14.81*;"13";"2018"
M14.82*;"13";"2018"
M14.83*;"13";"2018"
M14.84*;"13";"2018"
M14.85*;"13";"2018"
M14.86*;"13";"2018"
M14.87*;"13";"2018"
M14.88*;"13";"2018"
M14.89*;"13";"2018"
N82.8-;"14";"2018"
N82.80;"14";"2018"
N82.81;"14";"2018"
N82.88;"14";"2018"
T84.0-;"19";"2018"
T84.00;"19";"2018"
T84.01;"19";"2018"
T84.02;"19";"2018"
T84.03;"19";"2018"
T84.04;"19";"2018"
T84.05;"19";"2018"
T84.06;"19";"2018"
T84.07;"19";"2018"
T84.08;"19";"2018"
T84.1-;"19";"2018"
T84.10;"19";"2018"
T84.11;"19";"2018"
T84.12;"19";"2018"
T84.13;"19";"2018"
T84.14;"19";"2018"
T84.15;"19";"2018"
T84.16;"19";"2018"
T84.18;"19";"2018"
T84.2-;"19";"2018"
T84.20;"19";"2018"
T84.28;"19";"2018"
T85.74;"19";"2018"
U69.13!;"22";"2018"
I82.81;"09";"2019"
K22.81;"11";"2019"
K41.0-;"11";"2019"
K41.00;"11";"2019"
K41.01;"11";"2019"
K41.1-;"11";"2019"
K41.10;"11";"2019"
K41.11;"11";"2019"
K41.2-;"11";"2019"
K41.20;"11";"2019"
K41.21;"11";"2019"
K41.3-;"11";"2019"
K41.30;"11";"2019"
K41.31;"11";"2019"
K41.4-;"11";"2019"
K41.40;"11";"2019"
K41.41;"11";"2019"
K41.9-;"11";"2019"
K41.90;"11";"2019"
K41.91;"11";"2019"
K55.3-;"11";"2019"
K55.31;"11";"2019"
K55.32;"11";"2019"
K58.1;"11";"2019"
K58.2;"11";"2019"
K58.3;"11";"2019"
K58.8;"11";"2019"
K59.0-;"11";"2019"
K59.00;"11";"2019"
K59.01;"11";"2019"
K59.02;"11";"2019"
K59.09;"11";"2019"
K66.2;"11";"2019"
K74.7-!;"11";"2019"
K74.70!;"11";"2019"
K74.71!;"11";"2019"
K74.72!;"11";"2019"
M75.6;"13";"2019"
N28.8-;"14";"2019"
N28.80;"14";"2019"
N28.88;"14";"2019"
S22.2-;"19";"2019"
S22.20;"19";"2019"
S22.21;"19";"2019"
S22.22;"19";"2019"
S22.23;"19";"2019"
T76;"19";"2019"
T85.5-;"19";"2019"
T85.50;"19";"2019"
T85.51;"19";"2019"
T85.52;"19";"2019"
T85.53;"19";"2019"
T85.54;"19";"2019"
T85.59;"19";"2019"
T85.75;"19";"2019"
T85.76;"19";"2019"
U69.01!;"22";"2019"
U69.02!;"22";"2019"
U69.03!;"22";"2019"
I77.8-;"09";"2021"
I77.80;"09";"2021"
I77.88;"09";"2021"
K65.0-;"11";"2021"
K65.00;"11";"2021"
K65.09;"11";"2021"
S10.86;"19";"2021"
S10.96;"19";"2021"
S20.16;"19";"2021"
S20.36;"19";"2021"
S20.46;"19";"2021"
S20.86;"19";"2021"
S30.86;"19";"2021"
S30.9;"19";"2021"
S40.86;"19";"2021"
S50.86;"19";"2021"
S60.86;"19";"2021"
S70.86;"19";"2021"
S80.86;"19";"2021"
S90.86;"19";"2021"
U12.-;"22";"2021"
U07.0!;"22";"2021"
U07.1!;"22";"2021"
U07.2!;"22";"2021"
U08.-;"22";"2021"
U08.9;"22";"2021"
U09.-!;"22";"2021"
U09.9!;"22";"2021"
U10.-;"22";"2021"
U10.9;"22";"2021"
U11.-;"22";"2021"
U11.0;"22";"2021"
U11.1;"22";"2021"
U11.2;"22";"2021"
U11.3;"22";"2021"
U11.4;"22";"2021"
U11.5;"22";"2021"
U11.6;"22";"2021"
U11.7;"22";"2021"
U11.8;"22";"2021"
U11.9;"22";"2021"
U12.0;"22";"2021"
U12.1;"22";"2021"
U12.2;"22";"2021"
U12.3;"22";"2021"
U12.4;"22";"2021"
U12.5;"22";"2021"
U12.6;"22";"2021"
U12.7;"22";"2021"
U12.8;"22";"2021"
U12.9;"22";"2021"
U13.-;"22";"2021"
U13.0;"22";"2021"
U13.1;"22";"2021"
U13.2;"22";"2021"
U13.3;"22";"2021"
U13.4;"22";"2021"
U13.5;"22";"2021"
U13.6;"22";"2021"
U13.7;"22";"2021"
U13.8;"22";"2021"
U13.9;"22";"2021"
U14.0;"22";"2021"
U14.1;"22";"2021"
U14.2;"22";"2021"
U14.3;"22";"2021"
U14.4;"22";"2021"
U14.5;"22";"2021"
U14.6;"22";"2021"
U14.7;"22";"2021"
U14.8;"22";"2021"
U14.9;"22";"2021"
U15.-;"22";"2021"
U15.0;"22";"2021"
U15.1;"22";"2021"
U15.2;"22";"2021"
U15.3;"22";"2021"
U15.4;"22";"2021"
U15.5;"22";"2021"
U15.6;"22";"2021"
U15.7;"22";"2021"
U15.8;"22";"2021"
U15.9;"22";"2021"
U98.-!;"22";"2021"
U98.0!;"22";"2021"
U98.1!;"22";"2021"
U98.2!;"22";"2021"
U98.3!;"22";"2021"
U98.4!;"22";"2021"
U98.5!;"22";"2021"
U98.6!;"22";"2021"
U98.7!;"22";"2021"
U98.8!;"22";"2021"
U98.9!;"22";"2021"
